"gene"	"adj.pval.Origin"	"adj.pval.Treatment"	"adj.pval.LifeStage"	"adj.pval.Origin_x_Treatment"	"adj.pval.Origin_x_LifeStage"	"adj.pval.Treatment_x_LifeStage"	"adj.pval.Origin_x_Treatment_x_LifeStage"	"Length"	"GO_Name"	"GO_IDs"
"Pastreoides49786"	0	0	0	5.66627055587827e-66	0	0.408104850944545	0.990560071518914	645	"catalytic activity; lyase activity; catalytic activity; lyase activity"	"GO:0003824; GO:0016829; GO:0003824; GO:0016829"
"Pastreoides28897"	4.70628789292469e-40	7.69794478742051e-123	0	0	1.15930291562616e-84	2.71916918244587e-32	0.301863455946104	1627	"P:metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides28894"	6.8445276813637e-55	4.36785830101418e-102	0	8.63628963961201e-108	2.03308881648972e-84	6.49099077992469e-49	4.02665641588668e-21	936	"P:metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0031225"
"Pastreoides57982"	0.000499454363052778	1.42192535862621e-15	0	2.65946914967493e-21	2.03680590431484e-75	1.07248861950052e-08	7.46005278690353e-05	205	""	""
"Pastreoides57986"	1.23340829677828e-05	0.970723436199729	0	2.24568930095863e-101	1.1051889213645e-67	0.772123301872448	1.14465845510187e-05	396	""	""
"Pastreoides31715"	9.37319784127149e-98	1.31289289825352e-84	0	3.70418636124134e-182	2.1657482763562e-55	4.35273193937536e-25	9.09906391118063e-20	947	""	""
"Pastreoides28896"	0.605266424197971	6.22969243067557e-59	0	0	1.73540030737406e-43	8.47236373833817e-28	0.00015601147037834	944	"P:metabolic process; exo-alpha-sialidase activity; protein binding; hydrolase activity; hydrolase activity, acting on glycosyl bonds; exo-alpha-(2->3)-sialidase activity; exo-alpha-(2->6)-sialidase activity; exo-alpha-(2->8)-sialidase activity; plasma membrane; membrane; integral component of membrane; host cell cytoplasm; anchored component of membrane"	"GO:0008152; GO:0004308; GO:0005515; GO:0016787; GO:0016798; GO:0052794; GO:0052795; GO:0052796; GO:0005886; GO:0016020; GO:0016021; GO:0030430; GO:0031225"
"Pastreoides57983"	3.11819520809394e-34	2.0670542170175e-12	0	3.360014149e-15	1.73540030737406e-43	3.49837212841313e-07	0.00555069583335768	420	""	""
"Pastreoides08545"	0	4.59063547922139e-226	0	3.54028127156187e-34	9.38540821319962e-27	0.00507664002095484	0.465428329942001	337	"P:positive regulation of biological process; P:regulation of cellular process; P:response to stimulus; binding; cellular anatomical entity"	"GO:0048518; GO:0050794; GO:0050896; GO:0005488; GO:0110165"
"Pastreoides57984"	1.02373736826318e-19	1.11903956928645e-20	0	3.75134665650272e-08	3.97960835600088e-19	0.677897083577023	1.81510342732666e-10	307	""	""
